id;category_ids;nutrition_facts;amount;price;restaurant_id;ingredients;type;name
1;2,4;;264;49;6;Chantarelle mushrooms:150,cream:50,Onion:40,Garlic:4,Broth:10,Parsley:5;1;Chantarelle Sour Cream
2;2;;700;210;6;Beef:210,onions:35,carrots:35,Garlic:10,Parsely :5,Canola oil:25;0;Roast Beef
3;3,4;;240;92;1;Spaghetti:120,canola oil:10,onions:10,tomatoes:100,;0;Pasta
4;2;;565;147;2;Fish sticks:200,carrots:50,cabbage:50,red bell pepper:50,brocolli:50,Parsley:50;0;Fish stikcs with vegetables
5;;;365;74;6;bread:200,ham:100,canteloupe:50,butter:15,;0;Ham Sandich
6;3,4;;370;155;6;bread:200,zucchini:50,aubergine:50,red bell pepper:50,canola oil:10,leek:10;0;Vegi Sandwich
7;;;360;42;4;bread:200,chicken:100,soy sauce:15,sambal:15,peanuts:15,sesame oil:15;0;Chicken Satay Sandwich
8;2,3,4;;191;74;4;tomatoes:150,broth:10,parsely:10,sugar:6,onion:10,canola oil:5;2;Tomato soup
9;;;485;179;7;Pork:210,Potatoes:150,canola oil:10,garlic:5,swiss chard:100,onion:10;0;Sauteed Pork steam
10;1;;476;57;7;swiss salmon:210,leek:10,Fennel:30,saffron:4,chinese cabbage:50,pumpkin:50;0;Swiss salmon fillet
11;1,2,4;;310;153;1;tomatoes:200,canola oil:10,cannellini beans:50,egg:20,Parsely :10,coriander:10;0;Shakshuka
12;4;;335;138;7;potatoes:100,wheat flour :100,butter:10,canola oil:10,milk:50,Parsley:10;0;Potato Gnocchi
13;2,4;;270;129;5;leak:100,cream:100,broth:5,onions:10,potatoes:50,parsely:5;2;Leek soup
14;;;455;118;1;Veal:210,rosmary:10,potatoes:150,cauliflower:50,butter:10,wheat flour:20;2;Veal
15;4;;325;139;3;Halloumi :200,canola oil:5,balsamico:10,olive oil:10,zucchini:50,beetroot:20;0;Fried Halloumi with vegetables
16;2,4;;304;56;7;Zucchini:150,yoghurt:50,coriander:10,lemon juice:5,Poppadoms:80,ginger:5;1;Indian Courgette with coriander yoghurt
17;;;390;135;1;bread:100,beef sausage :100,fried onions:10,sauerkraut:50,poatatoes:100,vegetable oil:20;0;Hot dog with Sauerkraut
18;4;;229;72;7;Penne:120,sour cream:40,tomato puree:10,garlic:4,cherry tomatoes:40,Parmesan cheese:15;0;Penne Cinque Pi
19;1,2,3,4;;249;95;6;red lentils:40,tumeric:4,garlic:5,ginger:5,broth:5,coconut milk:140;2;Lentil and coconut soup
20;1;;460;70;3;chicken:210,soy sauce:10,hoisin sauce:10,rice wine vinegar:10,honey:10,brown sugar:10;0;Teriyaki chicken Esalop
21;;;360;132;6;Fish fillet:210,breadcrumbs:10,egg :5,wheat flour:5,cucumber:60,potatoes:60;0;Breaded perch fillet
22;1,2,3,4;;290;144;2;Peppers:150,tofu:60,dates:20,carrots:40,harissa:10,olive oil:10;2;Peppers stuffed with tofu
23;4;;200;84;3;iceberg lettuce:100,rucola:10,Tomato:30,cucumber:20,zucchini:20,olive oil:10;2;Seasonal Salad
24;4;;180;51;6;watermelon:100,Feta cheese:80,;1;Watermelon with feta
25;4;;145;64;4;leek:20,celery :20,pumpkin:20,parsnips:20,broth:5,cream:50;2;Vegetable cream soup
26;;;525;134;4;beef:210,bread:100,ketchup:10,sesame seeds:5,mushrooms:80,cheese:20;0;Beef burger in sesame bun
27;1;;360;137;2;Rice:100,Prawns:180,Chillies:20,zucchini:20,aubergine:20,carrots:20;0;Fried rice with prawns
28;2,4;;130;54;6;carrot:20,onion:10,leek:10,shiitake mushroom:60,soy sauce:10,chili:10;2;Vegetable soup with chili, soy and shiitake muschrooms
29;2;;370;56;5;chicken breast:210,cranberry:10,parsnip:50,potato:50,beetroot:50,;0;Cornfed chicken breats
30;1;;260;43;7;rice:180,chicken:50,carrot:10,leek:10,soy sauce:10,;0;Nasi
31;4;;220;27;7;wheat flour:80,walnuts:10,egg:30,cheese:60,sugar:10,pear:30;0;Nut bread with pears and raclette cheese
32;1,4;;270;53;1;bread:200,egg:50,mayonnaise:10,butter:10,;0;Egg Sandwich
33;;;290;40;6;bread:200,ham:40,cheese:40,butter:10,;0;Ham and Cheese Sandwich
34;;;119;35;4;red lentils:40,cumin:4,garlic:5,ginger:5,broth:5,potato:10;2;Lentil Soup with cumin
35;;;399;108;5;pork:210,broccoli:40,rice:120,saffron:4,broth:5,parmesan cheese:10;0;Pork and Saffron risotto
